bidder_id,prediction
49bb5a3c944b8fc337981cc7a9ccae41u31d7,0.00250223618387
a921612b85a1494456e74c09393ccb65ylp4y,0.0409511747851
6b601e72a4d264dab9ace9d7b229b47479v6i,0.0106539844705
eaf0ed0afc9689779417274b4791726cn5udi,0.00605491454087
cdecd8d02ed8c6037e38042c7745f688mx5sf,0.00400099815564
d4aed439bdc854a56fc6cc3bdb986775w7hxw,0.0249972616233
ed591299b162a19ff77f0479495831b31hl1q,0.000543244044523
eebdee08b0f67283126ef60307f49680sb9va,0.0341797810178
6887f0abc4eb4c79eb0e23c48ceea186vjfih,0.0156479474488
37eb6e2979e66d4ce29a74ac1c8bc6a5lqs6t,0.0388828900866
3bdce1c10890630c287cc3f758ae0dc3ddpu8,0.211573646845
78fdbeba625c6ee7a1bce379b4263773auglk,0.00420463139786
65d451d17c6c3cc8bcfad0f4253f307arko5e,0.00154300802935
5ad0cf9fa41c6ee677e708cd704ba9609qjod,0.0256418624432
b017a5693a93f7e5fcab8e4be495951f5hlp3,0.0523146654301
29606fe1516646d7058c2830d03643705t8hg,0.000406505752602
1c93e9b89cbb10abc6180e3a0e5061fcwugql,0.000708686240538
de24bbcb87c906b5e385ec715df727dcgj8gs,0.00095998992334
7f6d1b6369786181188848e7903ba72ckc0xv,0.0803373989751
2fdc5ca6fd51089afe756ee00e4f7e23le4gq,0.00437864176436
3cda68167e63c7edcb7a618e466f5e82iv4xq,0.00234292427035
40848d51755dda8e1aa23ba52bfb1ab5ewrso,0.0156479474488
3e322551a9657e97b345bb965bbab4d8eawre,0.00228563403714
1a1d4e9eba20c58b73fd68c5ab9907081xw9l,0.165841791159
5759ce7d1b3dbe6ddf4a1d128e767085yu5iv,0.0218572749388
a32715dae5fe9d7f9e29c70e6171a513nal30,0.000748905192259
2fd12c6c9a8c86edf1dc5d3bb6bd11dd9skfc,0.0908033614327
6c13e796dc0cb45b234234a7117d6fe9ta8qr,0.000818238233086
9f1e93f86a9d053856f754386fbeacf7bbn0h,0.00304762651034
a597c466ab9757c8b6b3f1da537303ccizhqj,0.00304762651034
8f903e6e380c42b5ad29d74dfbde74709ptfy,0.00248346478703
8ec77c402265170cdff483194d26a711b2jw9,0.0156479474488
154871353955cfe996aa3b15a99722e8z2dmo,0.0461751334225
5bdefc49dcf5eed981cb850c8e0808eaxzh4k,0.00731649404123
2e5316fad2ea56fc3196aaebd9b97faa59jdj,0.000619167087901
9edeb9dda13700f99a1a4c20ca580b74h769x,0.000466252568868
5e9fae8fb44a50c285436949f7f00460wjvsb,0.227188719152
573cdcab827fca60cb3f93c134dee9c9pui8t,0.000782490362294
05357eefa29d2c28f59f9e346ec64cebylh3z,0.00383032745739
a9d1978a3989dd6947ed87c636c1ad65f9rwg,0.0142584658973
797fec2fdeea8bc90a1ef96768ef0f9962xhq,0.00713017802864
3240517cc1d3c5b8c25b9b25836f0b02ggjn0,0.00215568466739
11dde523eac413d1f8e7fabaa0801fb631rn4,0.00774217387459
554466d4e50644d899e4f8f3ccd64b87ayokk,0.00136302986408
